17 (FJX_scat-cld.dat) scattering phase fns for std aerosols (v 7.0+)
## __name__  R-eff  rho
w(nm)   Q   ss-alb  pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
01 Str-Bkgd  0.221 1.630
 200 2.8513 1.0000 2.043 2.738 2.602 2.740 2.490 2.434 2.239
 300 2.7872 1.0000 2.130 2.726 2.564 2.403 2.046 1.756 1.484
 400 2.3981 1.0000 2.148 2.644 2.426 2.126 1.713 1.361 1.073
 600 1.5960 1.0000 2.094 2.409 2.067 1.650 1.215 0.876 0.623
 999 0.6808 1.0000 1.900 1.966 1.467 1.020 0.653 0.417 0.259
02 Str-Volc  0.386 1.630
 200 2.5935 1.0000 2.092 2.914 2.880 3.295 3.185 3.430 3.379
 300 2.6669 1.0000 2.121 2.861 2.792 2.936 2.733 2.703 2.568
 400 2.5588 1.0000 2.144 2.813 2.711 2.695 2.425 2.257 2.069
 600 2.1893 1.0000 2.149 2.713 2.547 2.362 2.018 1.740 1.499
 999 1.4540 1.0000 2.118 2.537 2.277 1.951 1.555 1.229 0.972
03 UT-sulf1  0.166 1.769
 200 2.6077 1.0000 2.184 2.844 2.752 2.646 2.333 2.074 1.836
 300 2.1375 1.0000 2.165 2.685 2.493 2.224 1.832 1.498 1.224
 400 1.6727 1.0000 2.126 2.534 2.262 1.911 1.496 1.156 0.891
 600 1.0093 1.0000 2.024 2.262 1.874 1.458 1.053 0.753 0.533
 999 0.4118 1.0000 1.810 1.846 1.340 0.923 0.593 0.383 0.243
04 UT-sulf2  0.166 1.769
 200 2.6482 1.0000 2.145 2.778 2.652 2.553 2.236 1.997 1.76
 300 2.2061 1.0000 2.129 2.621 2.399 2.131 1.741 1.424 1.15
 400 1.7456 1.0000 2.093 2.473 2.177 1.827 1.417 1.092 0.83
 600 1.0694 1.0000 1.997 2.210 1.806 1.393 0.996 0.708 0.49
 999 0.4429 1.0000 1.792 1.811 1.298 0.885 0.562 0.360 0.22
05 UT-sulfM  0.140 1.769
 200 2.7571 1.0000 2.018 2.518 2.263 2.114 1.746 1.526 1.267
 300 2.2755 1.0000 2.002 2.337 1.993 1.678 1.278 0.999 0.752
 400 1.7509 1.0000 1.958 2.169 1.756 1.369 0.974 0.706 0.491
 600 1.0091 1.0000 1.844 1.881 1.383 0.966 0.618 0.405 0.252
 999 0.3735 1.0000 1.601 1.476 0.910 0.543 0.298 0.171 0.092
06 UM-BC1    0.140 1.500
 200 2.6373 0.4740 2.291 2.995 3.222 3.163 2.949 2.668 2.364
 300 2.5527 0.4559 2.087 2.446 2.342 2.052 1.714 1.403 1.131
 400 2.3632 0.4383 1.920 2.067 1.792 1.430 1.090 0.823 0.614
 600 1.9166 0.4022 1.666 1.597 1.174 0.807 0.531 0.353 0.234
 999 1.2247 0.3319 1.333 1.144 0.651 0.361 0.192 0.107 0.060
07 UM-BC2    0.150 1.500
 200 2.6725 0.4796 2.385 3.244 3.602 3.603 3.381 3.037 2.643
 300 2.7145 0.4660 2.176 2.614 2.535 2.201 1.787 1.397 1.060
 400 2.6092 0.4522 1.987 2.137 1.832 1.403 1.001 0.695 0.468
 600 2.1953 0.4173 1.675 1.533 1.059 0.659 0.378 0.216 0.120
 999 1.3929 0.3372 1.242 0.992 0.477 0.216 0.089 0.038 0.016
08 UM-BB08C  0.149 1.230
 200 2.9853 0.7787 2.199 2.772 2.759 2.596 2.303 1.980 1.672
 300 2.7034 0.8202 2.132 2.471 2.226 1.825 1.409 1.047 0.763
 400 2.1718 0.8301 2.047 2.204 1.814 1.341 0.925 0.618 0.400
 600 1.2795 0.8191 1.851 1.762 1.224 0.766 0.440 0.251 0.136
 999 0.4738 0.7554 1.457 1.209 0.616 0.294 0.127 0.058 0.025
09 UM-FF04C  0.140 1.212
 200 2.7363 0.8680 2.112 2.600 2.457 2.267 1.953 1.689 1.434
 300 2.2854 0.8903 2.058 2.369 2.080 1.732 1.353 1.053 0.808
 400 1.7867 0.8968 1.995 2.179 1.797 1.388 1.006 0.727 0.515
 600 1.0629 0.8936 1.860 1.873 1.387 0.959 0.621 0.404 0.256
 999 0.4193 0.8646 1.602 1.459 0.899 0.530 0.291 0.166 0.090
10 UM-FF10C  0.140 1.230
 200 2.7087 0.7472 2.198 2.703 2.664 2.469 2.191 1.903 1.639
 300 2.2992 0.7773 2.109 2.410 2.169 1.806 1.441 1.127 0.878
 400 1.8365 0.7849 2.027 2.191 1.837 1.415 1.042 0.755 0.543
 600 1.1386 0.7756 1.872 1.860 1.386 0.951 0.621 0.403 0.259
 999 0.4850 0.7225 1.597 1.436 0.882 0.512 0.282 0.159 0.088
11 HDust.15  0.150 2.600
 200 3.0039  0.884 2.030 2.363 2.082 1.710 1.290 0.941 0.638
 300 3.0039  0.884 2.030 2.363 2.082 1.710 1.290 0.941 0.638
 400 2.4763  0.937 1.988 2.151 1.735 1.248 0.809 0.503 0.279
 600 1.2768  0.979 1.816 1.675 1.075 0.604 0.281 0.132 0.049
 999 0.3595  0.958 1.320 0.994 0.377 0.126 0.031 0.008 0.001
12 HDust.25  0.250 2.600
 200 2.9406  0.820 2.046 2.643 2.593 2.634 2.406 2.244 1.944
 300 2.9406  0.820 2.046 2.643 2.593 2.634 2.406 2.244 1.944
 400 3.1046  0.913 2.021 2.486 2.264 2.047 1.671 1.362 1.039
 600 2.6144  0.980 2.026 2.296 1.926 1.470 1.013 0.668 0.403
 999 1.2426  0.974 1.824 1.689 1.087 0.611 0.286 0.134 0.050
13 HDust.40  0.400 2.600
 200 2.6069  0.739 2.192 3.070 3.393 3.903 4.021 4.248 4.168
 300 2.6069  0.739 2.192 3.070 3.393 3.903 4.021 4.248 4.168
 400 2.8244  0.860 2.027 2.711 2.679 2.900 2.734 2.723 2.478
 600 3.1156  0.971 2.017 2.537 2.306 2.136 1.761 1.466 1.151
