09 (FJX_scat-cld.dat) scattering phase fns for clouds/volc (v 7.0+)
## __name__  R-eff  rho
w(nm)   Q   ss-alb  pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
01 WDeirC02  3.000 1.000
 200 2.1066 1.0000 2.571 3.936 4.659 5.342 6.051 6.664 7.485
 300 2.1410 1.0000 2.544 3.886 4.572 5.256 5.933 6.530 7.291
 400 2.1778 1.0000 2.513 3.834 4.480 5.160 5.785 6.356 7.044
 600 2.2287 1.0000 2.483 3.767 4.359 4.998 5.542 6.054 6.639
 999 2.3071 1.0000 2.395 3.597 4.063 4.648 5.052 5.478 5.857
02 WDeirC04  6.000 1.000
 200 2.0650 1.0000 2.610 3.998 4.771 5.450 6.196 6.829 7.721
 300 2.0835 1.0000 2.596 3.973 4.725 5.406 6.129 6.751 7.607
 400 2.1064 1.0000 2.571 3.936 4.660 5.345 6.056 6.670 7.492
 600 2.1345 1.0000 2.557 3.902 4.596 5.263 5.923 6.507 7.267
 999 2.1922 1.0000 2.499 3.799 4.418 5.081 5.667 6.213 6.851
03 WDeirC08  12.00 1.000
 200 2.0410 1.0000 2.629 4.030 4.830 5.508 6.277 6.923 7.854
 300 2.0539 1.0000 2.619 4.013 4.798 5.476 6.232 6.870 7.780
 400 2.0643 1.0000 2.611 3.999 4.773 5.451 6.194 6.826 7.716
 600 2.0883 1.0000 2.589 3.965 4.712 5.394 6.121 6.744 7.599
 999 2.1236 1.0000 2.563 3.917 4.625 5.302 5.992 6.593 7.385
04 WDeirC13  20.00 1.000
 200 2.0336 1.0000 2.636 4.041 4.851 5.530 6.307 6.959 7.904
 300 2.0440 1.0000 2.627 4.026 4.822 5.499 6.264 6.907 7.833
 400 2.0529 1.0000 2.620 4.014 4.800 5.477 6.234 6.872 7.783
 600 2.0716 1.0000 2.604 3.990 4.755 5.435 6.178 6.807 7.690
 999 2.0978 1.0000 2.585 3.955 4.691 5.368 6.077 6.688 7.520
05 WLacis06  10.00 1.000
 200 2.0473 1.0000 2.624 4.022 4.815 5.492 6.255 6.897 7.819
 300 2.0616 1.0000 2.613 4.002 4.779 5.458 6.205 6.839 7.735
 400 2.0747 1.0000 2.601 3.984 4.745 5.425 6.158 6.785 7.657
 600 2.1005 1.0000 2.580 3.947 4.679 5.359 6.070 6.684 7.514
 999 2.1423 1.0000 2.545 3.884 4.568 5.244 5.909 6.496 7.250
06 Ice-Hexg  50.00 0.917
 200 2.0000 1.0000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
 300 2.0000 1.0000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
 400 2.0000 1.0000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
 600 2.0000 1.0000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
 999 2.0000 1.0000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
07 Ice-Irrg  50.00 0.917
 200 2.0000 1.0000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
 300 2.0000 1.0000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
 400 2.0000 1.0000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
 600 2.0000 1.0000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
 999 2.0000 1.0000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
08 Strt-Bkg  0.221 1.630
 200 2.8513 1.0000 2.043 2.738 2.602 2.740 2.490 2.434 2.239
 300 2.7872 1.0000 2.130 2.726 2.564 2.403 2.046 1.756 1.484
 400 2.3981 1.0000 2.148 2.644 2.426 2.126 1.713 1.361 1.073
 600 1.5960 1.0000 2.094 2.409 2.067 1.650 1.215 0.876 0.623
 999 0.6808 1.0000 1.900 1.966 1.467 1.020 0.653 0.417 0.259
09 Str-Volc  0.386 1.630
 200 2.5935 1.0000 2.092 2.914 2.880 3.295 3.185 3.430 3.379
 300 2.6669 1.0000 2.121 2.861 2.792 2.936 2.733 2.703 2.568
 400 2.5588 1.0000 2.144 2.813 2.711 2.695 2.425 2.257 2.069
 600 2.1893 1.0000 2.149 2.713 2.547 2.362 2.018 1.740 1.499
 999 1.4540 1.0000 2.118 2.537 2.277 1.951 1.555 1.229 0.972
============================================================================

with 7.0, separate aerosol and cloud read-in,
     volcanic aerosols included with clouds
     many odd scattering phase fns dropped
     **** could set up continuous interpolation by R-eff in water clouds,
          and by temperature between the two ice clouds (hexagonal is colder)

01 W_C02   (C1/Deir)GAMMA:r-m=2.0/alf=6 n=1.335   reff=3.000___G=19.55_rho=1.000
02 W_C04   (C1/Deir)GAMMA:r-m=4.0/alf=6 n=1.335   reff=6.000___G=78.19_rho=1.000
03 W_C08   (C1/Deir)GAMMA:r-m=8.0/alf=2 n=1.335   reff=12.00___G=301.1_rho=1.000
04 W_C13   (C1/Deir)GAMMA:r-m=13./alf=2 n=1.335   reff=20.00___G=472.9_rho=1.000
05 W_L06   (W/Lacis)GAMMA:r-m=5.5/alf=11/3        reff=10.00___G=183.9_rho=1.000
06 Ice-Hexagonal (Mishchencko)                    reff=50.00___G=999.9_rho=0.917
07 Ice-Irregular (Mishchencko)                    reff=50.00___G=999.9_rho=0.917
08 S-Bkg   LOGN:r=.090 s=.600 n=1.514/.../1.435   reff=0.221___G=.0523_rho=1.630
09 S-Vol   LOGN:r=.080 s=.800 n=1.514/.../1.435   reff=0.386___G=.0721_rho=1.630

============================================================================
