      J          L           M          N
      1      6.073D-05     1.743       0.474
      2      4.775D-04     0.298       0.080
      3      1.041D-05     0.723       0.279
      4      1.165D-02     0.244       0.267
      5      2.485D-02     0.168       0.108
      6      1.747D-01     0.155      0.125
      7      2.644D-03     0.261      0.288
      8      9.312D-07     1.230      0.307
     11      4.642D-05     0.762       0.353
     12      6.853D-05     0.477       0.323
     13      7.344D-06     1.202       0.417
     14      2.879D-05     1.067       0.358
     15      2.792D-05     0.805       0.338
     16      1.675D-05     0.805       0.338
     17      7.914D-05     0.764      0.364
     18      1.140D-05     0.396       0.298
     19      1.140D-05     0.396      0.298
     21      7.992D-07     1.578       0.271
     22      5.804D-06     1.092      0.377
     23      1.836D-05     0.395      0.296
     24      1.836D-05     0.395      0.296
     31      6.845D-05     0.130      0.201
     32      1.032D-05     0.130      0.201
     33      3.802D-05     0.644       0.312
     34      1.537D-04     0.170       0.208
     35      3.326D-04     0.148      0.215
     41      7.649D-06     0.682       0.279
     51      1.588D-06     1.154      0.318
     52      1.907D-06     1.244      0.335
     53      2.485D-06     1.196      0.328
     54      4.095D-06     1.111       0.316
     55      1.135D-05     0.974      0.309
     56      7.549D-06     1.015      0.324
     57      3.363D-06     1.296      0.322
     61      7.537D-04     0.499       0.266
 
