"Wavelength"   "295 K"      "243 K"      "228 K"      "218 K"
  195.0000   3.8500E-19   3.8118E-19   3.8143E-19   3.8236E-19
  195.0100   3.8576E-19   3.8089E-19   3.8134E-19   3.8212E-19
  195.0200   3.8763E-19   3.8047E-19   3.8139E-19   3.8193E-19
  195.0300   3.8601E-19   3.8043E-19   3.8133E-19   3.8162E-19
  195.0400   3.8404E-19   3.8033E-19   3.8104E-19   3.8142E-19
  195.0500   3.8590E-19   3.7987E-19   3.8088E-19   3.8119E-19
  195.0600   3.8550E-19   3.7975E-19   3.8029E-19   3.8091E-19
  195.0700   3.8514E-19   3.7944E-19   3.8016E-19   3.8045E-19
  195.0800   3.8481E-19   3.7905E-19   3.8003E-19   3.8024E-19
  195.0900   3.8493E-19   3.7884E-19   3.7977E-19   3.7998E-19
  195.1000   3.8474E-19   3.7856E-19   3.7974E-19   3.7990E-19
  195.1100   3.8509E-19   3.7854E-19   3.7940E-19   3.7975E-19
  195.1200   3.8532E-19   3.7867E-19   3.7905E-19   3.7999E-19
  195.1300   3.8450E-19   3.7830E-19   3.7890E-19   3.8011E-19
  195.1400   3.8413E-19   3.7802E-19   3.7839E-19   3.8009E-19
  195.1500   3.8265E-19   3.7768E-19   3.7834E-19   3.8001E-19
  195.1600   3.8203E-19   3.7762E-19   3.7831E-19   3.7978E-19
  195.1700   3.8245E-19   3.7727E-19   3.7826E-19   3.7952E-19
  195.1800   3.8218E-19   3.7730E-19   3.7845E-19   3.7936E-19
  195.1900   3.8142E-19   3.7711E-19   3.7836E-19   3.7915E-19
  195.2000   3.8150E-19   3.7711E-19   3.7811E-19   3.7894E-19
  195.2100   3.8166E-19   3.7677E-19   3.7780E-19   3.7830E-19
  195.2200   3.8125E-19   3.7633E-19   3.7698E-19   3.7773E-19
  195.2300   3.8074E-19   3.7628E-19   3.7653E-19   3.7715E-19
  195.2400   3.8005E-19   3.7593E-19   3.7635E-19   3.7676E-19
  195.2500   3.7981E-19   3.7545E-19   3.7619E-19   3.7656E-19
  195.2600   3.7874E-19   3.7513E-19   3.7614E-19   3.7658E-19
  195.2700   3.7807E-19   3.7477E-19   3.7607E-19   3.7666E-19
  195.2800   3.7763E-19   3.7458E-19   3.7605E-19   3.7667E-19
  195.2900   3.7789E-19   3.7407E-19   3.7585E-19   3.7674E-19
  195.3000   3.7783E-19   3.7399E-19   3.7550E-19   3.7659E-19
  195.3100   3.7793E-19   3.7428E-19   3.7521E-19   3.7636E-19
  195.3200   3.7822E-19   3.7407E-19   3.7507E-19   3.7609E-19
  195.3300   3.7922E-19   3.7401E-19   3.7500E-19   3.7570E-19
  195.3400   3.7947E-19   3.7361E-19   3.7490E-19   3.7540E-19
  195.3500   3.7885E-19   3.7360E-19   3.7494E-19   3.7517E-19
  195.3600   3.7868E-19   3.7315E-19   3.7477E-19   3.7506E-19
  195.3700   3.7833E-19   3.7246E-19   3.7438E-19   3.7485E-19
  195.3800   3.7796E-19   3.7224E-19   3.7410E-19   3.7459E-19
  195.3900   3.7794E-19   3.7199E-19   3.7363E-19   3.7419E-19
  195.4000   3.7776E-19   3.7202E-19   3.7344E-19   3.7394E-19
  195.4100   3.7672E-19   3.7214E-19   3.7329E-19   3.7350E-19
  195.4200   3.7525E-19   3.7196E-19   3.7332E-19   3.7307E-19
  195.4300   3.7514E-19   3.7186E-19   3.7317E-19   3.7288E-19
  195.4400   3.7469E-19   3.7141E-19   3.7293E-19   3.7287E-19
  195.4500   3.7397E-19   3.7113E-19   3.7226E-19   3.7278E-19
  195.4600   3.7379E-19   3.7080E-19   3.7266E-19   3.7264E-19
  195.4700   3.7342E-19   3.7032E-19   3.7286E-19   3.7229E-19
  195.4800   3.7305E-19   3.7034E-19   3.7293E-19   3.7201E-19
  195.4900   3.7299E-19   3.7038E-19   3.7288E-19   3.7155E-19
  195.5000   3.7335E-19   3.7006E-19   3.7271E-19   3.7112E-19
  195.5100   3.7371E-19   3.6983E-19   3.7188E-19   3.7109E-19
  195.5200   3.7376E-19   3.6958E-19   3.7116E-19   3.7096E-19
  195.5300   3.7380E-19   3.6956E-19   3.7031E-19   3.7091E-19
  195.5400   3.7366E-19   3.6935E-19   3.7040E-19   3.7056E-19
  195.5500   3.7306E-19   3.6898E-19   3.7022E-19   3.7026E-19
  195.5600   3.7316E-19   3.6911E-19   3.7001E-19   3.6990E-19
  195.5700   3.7276E-19   3.6874E-19   3.7004E-19   3.6969E-19
  195.5800   3.7279E-19   3.6851E-19   3.6961E-19   3.6969E-19
  195.5900   3.7284E-19   3.6820E-19   3.6912E-19   3.6975E-19
  195.6000   3.7185E-19   3.6796E-19   3.6901E-19   3.6945E-19
  195.6100   3.7123E-19   3.6786E-19   3.6896E-19   3.6934E-19
  195.6200   3.7153E-19   3.6770E-19   3.6883E-19   3.6911E-19
  195.6300   3.7149E-19   3.6771E-19   3.6874E-19   3.6893E-19
  195.6400   3.7157E-19   3.6759E-19   3.6873E-19   3.6857E-19
  195.6500   3.7131E-19   3.6731E-19   3.6861E-19   3.6827E-19
  195.6600   3.7094E-19   3.6724E-19   3.6815E-19   3.6801E-19
  195.6700   3.7069E-19   3.6696E-19   3.6782E-19   3.6752E-19
  195.6800   3.7030E-19   3.6683E-19   3.6777E-19   3.6721E-19
  195.6900   3.7060E-19   3.6656E-19   3.6728E-19   3.6710E-19
  195.7000   3.7072E-19   3.6626E-19   3.6714E-19   3.6715E-19
  195.7100   3.7031E-19   3.6610E-19   3.6685E-19   3.6710E-19
  195.7200   3.7077E-19   3.6565E-19   3.6643E-19   3.6719E-19
  195.7300   3.7024E-19   3.6561E-19   3.6608E-19   3.6717E-19
  195.7400   3.6980E-19   3.6551E-19   3.6586E-19   3.6710E-19
  195.7500   3.6990E-19   3.6539E-19   3.6563E-19   3.6667E-19
  195.7600   3.6926E-19   3.6534E-19   3.6566E-19   3.6645E-19
  195.7700   3.6899E-19   3.6508E-19   3.6521E-19   3.6592E-19
  195.7800   3.6846E-19   3.6493E-19   3.6504E-19   3.6547E-19
  195.7900   3.6880E-19   3.6477E-19   3.6496E-19   3.6509E-19
  195.8000   3.6816E-19   3.6448E-19   3.6469E-19   3.6501E-19
  195.8100   3.6714E-19   3.6413E-19   3.6461E-19   3.6476E-19
  195.8200   3.6684E-19   3.6391E-19   3.6445E-19   3.6464E-19
  195.8300   3.6663E-19   3.6365E-19   3.6413E-19   3.6444E-19
  195.8400   3.6636E-19   3.6340E-19   3.6404E-19   3.6426E-19
  195.8500   3.6650E-19   3.6348E-19   3.6370E-19   3.6390E-19
  195.8600   3.6637E-19   3.6326E-19   3.6329E-19   3.6353E-19
  195.8700   3.6592E-19   3.6313E-19   3.6321E-19   3.6343E-19
  195.8800   3.6517E-19   3.6273E-19   3.6294E-19   3.6334E-19
  195.8900   3.6525E-19   3.6238E-19   3.6291E-19   3.6328E-19
  195.9000   3.6561E-19   3.6228E-19   3.6263E-19   3.6325E-19
  195.9100   3.6574E-19   3.6240E-19   3.6239E-19   3.6322E-19
  195.9200   3.6494E-19   3.6227E-19   3.6229E-19   3.6299E-19
  195.9300   3.6471E-19   3.6240E-19   3.6215E-19   3.6264E-19
  195.9400   3.6515E-19   3.6228E-19   3.6202E-19   3.6216E-19
  195.9500   3.6481E-19   3.6213E-19   3.6188E-19   3.6179E-19
  195.9600   3.6530E-19   3.6177E-19   3.6180E-19   3.6142E-19
  195.9700   3.6571E-19   3.6146E-19   3.6188E-19   3.6092E-19
  195.9800   3.6531E-19   3.6134E-19   3.6148E-19   3.6070E-19
  195.9900   3.6450E-19   3.6123E-19   3.6101E-19   3.6042E-19
  196.0000   3.6434E-19   3.6096E-19   3.6060E-19   3.6018E-19
  196.0100   3.6434E-19   3.6061E-19   3.6011E-19   3.6014E-19
