ATLAS3-SUSIM  13 Nov 1994.
Wavelength in nm and Irradiance in mW/m2/nm
0.15 nm resolution (FWHM)
 
Wavelength Irradiance
  150.01  1.0157e-01
  150.06  9.7239e-02
  150.11  9.5056e-02
  150.16  9.8164e-02
  150.21  9.4524e-02
  150.26  9.8151e-02
  150.31  1.0164e-01
  150.36  9.2453e-02
  150.41  9.4150e-02
  150.46  9.5479e-02
  150.51  9.8486e-02
  150.56  9.3564e-02
  150.61  9.3300e-02
  150.66  9.7414e-02
  150.71  9.7139e-02
  150.76  9.7231e-02
  150.81  9.3138e-02
  150.86  9.5719e-02
  150.91  9.8055e-02
  150.96  1.0199e-01
  151.01  1.1575e-01
  151.06  1.2102e-01
  151.11  1.2452e-01
  151.16  1.1121e-01
  151.21  1.0199e-01
  151.26  1.0277e-01
  151.31  9.8358e-02
  151.36  9.9466e-02
  151.41  9.8125e-02
  151.46  1.0058e-01
  151.51  9.8900e-02
  151.56  9.9472e-02
  151.61  1.0572e-01
  151.66  1.0014e-01
  151.71  1.0063e-01
  151.76  1.0613e-01
  151.81  1.0103e-01
  151.86  1.0446e-01
  151.91  1.0075e-01
  151.96  1.0515e-01
  152.01  1.0580e-01
  152.06  1.0507e-01
  152.11  1.0805e-01
  152.16  1.0858e-01
  152.21  1.1039e-01
  152.26  1.1242e-01
  152.31  1.1570e-01
  152.36  1.1591e-01
  152.41  1.1336e-01
  152.46  1.1551e-01
  152.51  1.1988e-01
  152.56  1.2037e-01
  152.61  1.5643e-01
  152.66  2.1080e-01
  152.71  1.8504e-01
  152.76  1.4068e-01
  152.81  1.1720e-01
  152.86  1.1259e-01
  152.91  1.2124e-01
  152.96  1.1690e-01
  153.01  1.1580e-01
  153.06  1.1892e-01
  153.11  1.2550e-01
  153.16  1.2043e-01
  153.21  1.1800e-01
  153.26  1.4265e-01
  153.31  2.0279e-01
  153.36  2.2135e-01
  153.41  1.8041e-01
  153.46  1.5065e-01
  153.51  1.2648e-01
  153.56  1.2140e-01
  153.61  1.2612e-01
  153.66  1.3228e-01
  153.71  1.4691e-01
  153.76  1.4948e-01
  153.81  1.3096e-01
  153.86  1.1669e-01
  153.91  1.1406e-01
  153.96  1.2173e-01
  154.01  1.4627e-01
  154.06  1.5601e-01
  154.11  1.6145e-01
  154.16  1.5850e-01
  154.21  1.4094e-01
  154.26  1.2878e-01
  154.31  1.2018e-01
  154.36  1.1996e-01
  154.41  1.3152e-01
  154.46  1.3831e-01
  154.51  1.4961e-01
  154.56  1.4449e-01
  154.61  1.2425e-01
  154.66  1.3203e-01
  154.71  1.5074e-01
  154.76  3.3175e-01
  154.81  7.6526e-01
  154.86  6.6467e-01
  154.91  3.7369e-01
  154.96  1.6683e-01
  155.01  2.4607e-01
  155.06  4.5210e-01
  155.11  5.0428e-01
  155.16  3.5998e-01
  155.21  1.8456e-01
  155.26  1.4622e-01
  155.31  1.2908e-01
  155.36  1.2649e-01
  155.41  1.2092e-01
  155.46  1.2747e-01
  155.51  1.3633e-01
  155.56  1.4159e-01
  155.61  1.4472e-01
  155.66  1.4226e-01
  155.71  1.3254e-01
  155.76  1.3641e-01
  155.81  1.6522e-01
  155.86  2.2278e-01
  155.91  2.5782e-01
  155.96  2.4660e-01
  156.01  2.6930e-01
  156.06  3.6358e-01
  156.11  3.7543e-01
  156.16  3.4350e-01
  156.21  2.4857e-01
  156.26  1.5978e-01
  156.31  1.5449e-01
  156.36  1.8775e-01
  156.41  1.8461e-01
  156.46  1.6275e-01
  156.51  1.4083e-01
  156.56  1.3895e-01
  156.61  1.4571e-01
  156.66  1.6244e-01
  156.71  1.7376e-01
  156.76  1.7975e-01
  156.81  1.7235e-01
  156.86  1.6194e-01
  156.91  1.7179e-01
  156.96  2.0286e-01
  157.01  2.2169e-01
  157.06  2.0844e-01
  157.11  1.8310e-01
  157.16  1.6976e-01
  157.21  1.5613e-01
  157.26  1.5935e-01
  157.31  1.6782e-01
  157.36  2.0855e-01
  157.41  2.4364e-01
  157.46  2.5888e-01
  157.51  2.4702e-01
  157.56  1.8902e-01
  157.61  1.6442e-01
  157.66  1.6146e-01
  157.71  1.7402e-01
  157.76  1.6281e-01
  157.81  1.4531e-01
  157.86  1.4766e-01
  157.91  1.4213e-01
  157.96  1.5215e-01
  158.01  1.7942e-01
  158.06  2.0622e-01
  158.11  1.9957e-01
  158.16  1.6015e-01
  158.21  1.4812e-01
  158.26  1.4098e-01
  158.31  1.5477e-01
  158.36  1.6170e-01
  158.41  1.8442e-01
  158.46  1.9647e-01
  158.51  1.9673e-01
  158.56  1.7923e-01
  158.61  1.7246e-01
  158.66  1.6901e-01
  158.71  1.7409e-01
  158.76  1.9887e-01
  158.81  2.1142e-01
  158.86  2.0413e-01
  158.91  1.7944e-01
  158.96  1.8194e-01
  159.01  1.8113e-01
  159.06  1.7785e-01
  159.11  1.8376e-01
  159.16  1.7847e-01
  159.21  1.8356e-01
  159.26  1.7902e-01
  159.31  1.7511e-01
  159.36  1.9043e-01
  159.41  1.9360e-01
  159.46  2.1125e-01
  159.51  2.0297e-01
  159.56  1.8662e-01
  159.61  1.7975e-01
  159.66  1.6652e-01
  159.71  1.6774e-01
  159.76  1.7198e-01
  159.81  1.7861e-01
  159.86  1.6856e-01
  159.91  1.6921e-01
  159.96  1.7875e-01
  160.01  1.9201e-01
  160.06  1.9089e-01
  160.11  2.0458e-01
  160.16  2.2145e-01
  160.21  2.2713e-01
  160.26  2.1726e-01
  160.31  2.0338e-01
