Absorption Cross Sections of CH2=CHCHO at 298 K
From JPL 2006, originally from:
Magneron, I., R. Thévenet, A. Mellouki, G. Le Bras, G. K. Moortgat 
and K. Wirtz, 2002, J. Phys. Chem. A, 106, 2526-2537.
Wavelength, nm
	Cross secton, 1e-20 cm2
282	0.84
284	0.97
286	1.08
288	1.23
290	1.46
292	1.62
294	1.8
296	1.97
298	2.18
300	2.47
302	2.7
304	2.85
306	3.09
308	3.29
310	3.59
312	3.92
314	4.15
316	4.21
318	4.47
320	4.65
322	5.08
324	5.17
326	5.34
328	5.2
330	5.31
332	5.44
334	5.8
336	6.24
338	5.46
340	5.31
342	5.1
344	5.12
346	5.3
348	5.17
350	5.94
352	5.79
354	4.18
356	3.63
358	3.28
360	3.92
362	3.72
364	2.86
366	3.74
368	3.82
370	2.17
372	1.58
374	1.14
376	1.14
378	1.24
380	1.1
382	0.84
384	0.79
386	1.18
388	0.49
390	0.25
