Absorption Cross Sections of CH2=C(CH3)CHO at 298 K
From JPL 2006, originally from:
Gierczak, T., J. B. Burkholder, R. K. Talukdar, A. Mellouki, 
S. B. Barone and A. R. Ravishankara, 1997, J.Photochem. Photobiol. A:
Chem., 110, 1-10.
Wavelength, nm
	Cross section, 1e-20 cm2
250	0.207
251	0.194
252	0.187
253	0.18
254	0.179
255	0.177
256	0.18
257	0.18
258	0.186
259	0.193
260	0.201
261	0.211
262	0.224
263	0.241
264	0.263
265	0.283
266	0.305
267	0.333
268	0.363
269	0.398
270	0.436
271	0.479
272	0.52
273	0.567
274	0.616
275	0.673
276	0.732
277	0.793
278	0.863
279	0.936
280	1.01
281	1.09
282	1.18
283	1.26
284	1.35
285	1.45
286	1.56
287	1.67
288	1.79
289	1.9
290	2.03
291	2.16
292	2.28
293	2.39
294	2.52
295	2.68
296	2.85
297	2.99
298	3.13
299	3.26
300	3.44
301	3.61
302	3.76
303	3.91
304	4.04
305	4.19
306	4.4
307	4.58
308	4.71
309	4.81
310	4.92
311	5.13
312	5.35
313	5.5
314	5.61
315	5.7
316	5.87
317	6.04
318	6.19
319	6.28
320	6.27
321	6.18
322	6.21
323	6.34
324	6.58
325	6.74
326	6.73
327	6.68
328	6.83
329	7.07
330	7.15
331	7.16
332	7.03
333	6.69
334	6.41
335	6.08
336	5.97
337	6.25
338	6.38
339	6.37
340	6.24
341	6.02
342	5.98
343	6.58
344	6.79
345	6.53
346	6.11
347	5.63
348	5.22
349	4.55
350	4.16
351	3.85
352	3.89
353	4.35
354	4.31
355	4.14
356	3.62
357	3.53
358	3.46
359	3.81
360	5.05
361	4.28
362	3.61
363	2.86
364	2.68
365	2.33
366	1.92
367	1.62
368	1.4
369	1.31
370	1.42
371	1.67
372	1.53
373	1.43
374	1.08
375	0.977
376	1
377	1.07
378	1.35
379	2.18
380	1.3
381	0.984
382	0.555
383	0.456
384	0.364
385	0.331
386	0.246
387	0.205
388	0.181
389	0.161
390	0.147
391	0.156
392	0.159
393	0.153
394	0.149
395	0.123
