Absorption Cross Sections of C2H5C(O)O2NO2 at 296 K and Temperature
Coefficients B.  From JPL_15 (July 10, 2006).  Originally from 
Harwood, M. H., J. M. Roberts, G. J. Frost, A. R. Ravishankara and J. B. 
Burkholder, 2003, J. Phys. Chem. A, 107, 1148-1154.
Corrected typo 2400nm should be 240 nm.
Values at 296K.  For diff temp, use B coefficient:
sigma(T) = sigma(296K) * exp[B(T-296K)]
Wavelength, nm
	Cross Section, 10-20 cm2/molec
		B, 1e-3 K-1
210	174	1.22
212	154	1.2
214	135	1.19
216	115	1.2
218	99.9	1.21
220	86.1	1.24
222	74.7	1.27
224	64.8	1.32
226	56.9	1.37
228	49.6	1.44
230	43.6	1.52
232	38.3	1.6
234	33.6	1.7
236	29.5	1.81
238	25.8	1.93
240	22.6	2.06
242	19.8	2.2
244	17.4	2.35
246	15.3	2.51
248	13.5	2.68
250	11.9	2.86
252	10.5	3.05
254	9.27	3.25
256	8.23	3.47
258	7.28	3.69
260	6.44	3.92
262	5.66	4.17
264	4.96	4.42
266	4.35	4.69
268	3.8	4.96
270	3.31	5.25
272	2.87	5.54
274	2.48	5.85
276	2.14	6.17
278	1.84	6.49
280	1.57	6.83
282	1.33	7.18
284	1.12	7.54
286	0.94	7.91
288	0.79	8.29
290	0.662	8.68
292	0.551	9.08
294	0.462	9.49
296	0.389	9.91
298	0.325	10.3
300	0.273	10.8
302	0.228	11.2
304	0.192	11.7
306	0.162	12.2
308	0.136	12.6
310	0.114	13.2
312	0.0962	13.6
314	0.0835	14.2
316	0.0689	14.7
318	0.0571	15.2
320	0.0491	15.8
322	0.0443	16.3
324	0.0354	16.9
326	0.0282	17.5
328	0.0242	18.1
330	0.0206	18.7
332	0.0174	19.3
334	0.0146	19.9
336	0.0107	20.5
338	0.009	21.2
340	0.0066	21.8
