Absorption Cross Sections CH3C(O)OOH at 298 K.
From JPL 2006, originally from:
Orlando, J. J. and G. S. Tyndall, 2003, J. Photochem. Photobiol. A:
Photochem., 157, 161-166.
Wavelength, nm
	Cross section, 1e-20 cm2
210	38.1
212	33.1
214	29.5
216	25.4
218	21.7
220	18.9
222	16
224	13.9
226	12
228	10.5
230	9.1
232	8.01
234	7.03
236	6.31
238	5.61
240	5.03
242	4.83
244	4.31
246	3.82
248	3.41
250	3.05
252	2.71
254	2.42
256	2.16
258	1.93
260	1.71
262	1.53
264	1.35
266	1.21
268	1.06
270	0.945
272	0.835
274	0.742
276	0.651
278	0.574
280	0.506
282	0.444
284	0.386
286	0.334
288	0.297
290	0.256
292	0.226
294	0.193
296	0.17
298	0.141
300	0.123
302	0.107
304	0.094
306	0.078
308	0.069
310	0.062
312	0.045
314	0.044
316	0.04
318	0.035
320	0.025
322	0.02
324	0.02
326	0.017
328	0.014
330	0.009
332	0.011
334	0.011
336	0.009
338	0.009
340	0.006
