ChebcoefA
Region :   1,Region :   2,Region :   3,Region :   4,Region :   5,Region :   6,Region :   7,Region :   8,Region :   9,Region :  10,Region :  11,Region :  12,Region :  13,Region :  14,Region :  15,Region :  16,Region :  17,
 1.01299248635769E-0002, 1.24629074707627E-0002, 1.17507819086313E-0002, 6.00254954770207E-0003, 3.83285153657198E-0003, 4.19552065432072E-0003, 8.68364516645670E-0003, 6.61816960200667E-0003, 5.45611511915922E-0003, 9.37877129763365E-0003, 3.73193318955600E-0003, 4.25203470513225E-0003, 1.11884698271751E-0002, 1.22261606156826E-0002, 6.58877100795507E-0003, 2.15090042911470E-0003, 7.19559495337307E-0004,
 4.92775812745094E-0003, 6.69141532853246E-0003, 6.74931425601244E-0003, 3.04163340479136E-0003, 9.24751046113670E-0004,-6.93289621267468E-0005, 3.65910609252751E-0003,-2.16037646168843E-0004,-3.62338265404105E-0003,-1.00316479802132E-0003,-2.14893510565162E-0003,-4.02387976646423E-0003,-8.15672241151333E-0003,-8.48923996090889E-0003,-4.33475291356444E-0003,-1.66029925458133E-0003,-4.14013979025185E-0004,
-3.21849016472697E-0003,-3.61971813254058E-0003,-1.71727291308343E-0003,-1.34564808104187E-0003,-2.41587474010885E-0003,-1.42452772706747E-0003, 8.17305641248822E-0004, 1.40400865348056E-0004,-1.36525114066899E-0003,-3.17051570164040E-0004,-1.24988087918609E-0003, 2.52219004323706E-0004, 5.05659403279424E-0003, 4.96717588976026E-0003, 2.63612275011837E-0003, 1.18536711670458E-0003, 4.26325888838619E-0004,
-2.22120410762727E-0003,-4.54070419073105E-0003,-2.43034074082971E-0003,-3.05988360196352E-0005,-7.50405946746469E-0004,-8.60366330016404E-0004, 6.05895183980465E-0004,-1.17858254816383E-0003,-3.60865192487836E-0003,-6.08240137808025E-0004,-4.27354173734784E-0003,-4.03935508802533E-0003,-5.70040382444859E-0003,-4.58617974072695E-0003,-2.21549510024488E-0003,-9.12618008442223E-0004,-2.08456083782949E-0004,
-1.10634672455490E-0003,-3.08012403547764E-0003,-1.69446307700127E-0003, 5.44505892321467E-0004, 1.21707023936324E-0004, 2.08176628802903E-0004, 1.35609519202262E-0003, 6.11105002462864E-0004,-6.19182654190809E-0004, 7.72952742408961E-0004,-1.69471651315689E-0003,-6.14812306594104E-0004, 1.00072589702904E-0003, 9.75968316197395E-0004, 6.86321815010160E-0004, 2.50681827310473E-0004, 1.18910058517940E-0004,
-6.02349755354226E-0004,-4.75269422167912E-0004, 1.54578810906969E-0004, 2.08055030270771E-0006,-4.61681847809814E-0005,-2.03694653464481E-0004, 5.94568497035652E-0004,-5.91504394833464E-0005,-4.34186658822000E-0004, 3.81475576432422E-0004,-7.89800076745450E-0004,-5.09671117470134E-0005, 8.59443447552621E-0004, 7.16903537977487E-0004, 2.27582058869302E-0004, 8.15023668110371E-0005, 6.36485347058624E-0005,
-5.37680811248720E-0004,-1.22243043733761E-0004, 5.68136456422508E-0004,-7.89729601820000E-0005,-2.61324108578265E-0004,-4.58434136817232E-0004,-3.00284940749407E-0004,-6.30654161795974E-0004,-8.04820447228849E-0004, 5.25643583387136E-0004,-5.69808646105230E-0004,-2.03741161385551E-0004,-9.43752093007788E-0006,-2.38989494391717E-0004,-1.27341394545510E-0004,-7.89691766840406E-0005,-1.15519412702270E-0006,
-3.52014612872154E-0004,-4.09653090173379E-0004, 3.64597071893513E-0004, 3.69826360838488E-0004, 1.65143301273929E-0005, 9.22639737837017E-0005,-4.62242780486122E-0004,-6.64311737637036E-0005,-2.74336402071640E-0004, 3.68972570868209E-0004,-1.37156908749603E-0004, 1.97204317373689E-0005, 5.51758916117251E-0004, 5.50234690308571E-0004, 3.65001847967505E-0004, 1.30603119032457E-0004, 4.96710745210294E-0005,
-9.80006880126894E-0005,-1.66980593348853E-0004,-2.06275508389808E-0004, 7.07908038748428E-0005,-4.79382542835083E-0005, 1.48562714457512E-0004,-4.73478634376079E-0004,-5.13576233061031E-0005,-1.56403053551912E-0004,-5.59872714802623E-0004,-1.71511404914781E-0004,-4.50919003924355E-0004,-7.82699382398278E-0004,-4.12657798733562E-0004,-2.65894341282547E-0004,-1.02240068372339E-0004,-2.94810397463152E-0005,
 3.91476933145896E-0004, 1.74320826772600E-0004,-5.53898862563074E-0004,-1.94968146388419E-0004,-1.20529599371366E-0004,-9.61433397606015E-0005,-2.47934163780883E-0004,-1.01171179267112E-0004, 6.06320354563650E-0005,-5.48409123439342E-0004, 2.25794410653180E-0005,-1.26005616039038E-0004,-2.89456947939470E-0004,-2.35748302657157E-0004,-1.30875501781702E-0004,-4.33807872468606E-0005,-2.04631523956778E-0005,
